SurveyID,Date,Season,Property,Quadrat no,Easting ,Northing,Aspect,Landscape position,ExoticAnnualGrass_cover,ExoticAnnualHerb_cover,ExoticPerennialHerb_cover,ExoticPerennialGrass_cover,ExoticShrub_cover,NativePerennialFern_cover,NativePerennialGrass_cover,NativePerennialHerb_cover,NativePerennialGraminoid_cover,NativeShrub_cover,BareGround_cover,Litter_cover,MossLichen_cover,Rock_cover,Euc_canopy_cover,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,euc_sdlgs50cm-2m,euc_sdlgs>2m,annual_precipitation,precipitation_warmest_quarter,precipitation_coldest_quarter,PET,MrVBF,K_perc,Th_ppm,U_ppm,SRad_Jan,SRad_Jul
116,26/07/2006,Winter 2006,Yorston,6,358074,5895284,s,slope,5,11.6,3.3,43.3,0,0,35,3.3,6.7,0,1.7,10,0,0,0,53,0,0,0,842,143,275,1152.5,0,2.03,16.97,7.68,180889,47042
117,26/07/2006,Winter 2006,Yorston,7,357961,5895704,ne,slope,5,28.3,20,0,0,0,20,1.7,0,0,5,13.3,1.7,10,0,22,0,0,0,825,141,270,1151.652,2.681323,2.28,17.21,7.39,180462,45207
118,10/11/2006,Spring 2006,Barlow,1,310059,5935151,e,slope,28.3,0,0,0,0,0,28.3,0.6,0,0,9,25,15,0,0,0,5,0,0,523,105,159,1290.556,3.05829,0.94,13.97,5.95,175646,43654
119,10/11/2006,Spring 2006,Barlow,2,310272,5935064,0,flat,38,1,0,0,0,0,40.1,0,0,0,3.3,13.3,5,0,0,13,3,1,0,522,105,158,1290.195,4.945734,0.98,13.88,5.35,175566,43313
120,10/11/2006,Spring 2006,Barlow,3,310195,5935288,n,slope,5,0.6,0,0,0,0,53.3,0.3,3.3,0,5.7,23.3,8.3,0,0,0,0,7,0,521,105,158,1290.697,4.937902,0.97,13.69,5.06,175802,42670
121,10/11/2006,Spring 2006,Barlow,4,310218,5934982,ne,slope,15.7,0,0.6,0,0,0,34.3,1.2,0,0,4,8.3,38.3,0,0,4,3,12,0,523,105,159,1290.087,4.721462,0.97,14.02,5.69,175197,42262
122,10/11/2006,Spring 2006,Barlow,5,310034,5934700,e,slope,2,0,0,0,0,0,1.3,0,0,0,41.7,3,15,40,0,0,0,0,0,526,106,160,1289.714,4.71474,0.78,14.96,7.7,176267,43380
123,10/11/2006,Spring 2006,Barlow,6,309996,5934758,n,slope,1.3,0,0,0,0,0,9,0,0,0,48.3,37.3,2,5.7,0,2,0,0,0,526,106,160,1289.861,4.749177,0.77,15.11,7.63,176175,43372
124,14/11/2006,Spring 2006,Blaber,1,387003,5936393,e,slope,0,2.3,8.4,0,0,0,50,0,0,1.7,10,20,20,0,0,38,0,0,0,809,131,280,1254.247,0,1.42,22.06,4.92,171307,40207
125,14/11/2006,Spring 2006,Blaber,2,386476,5936219,e,slope,0,0,0,0,0,0,28.3,0,0,0,1.7,71.7,3.3,0,40,0,0,0,0,855,137,299,1255.757,0,1.71,20.96,5.98,172837,38854
126,14/11/2006,Spring 2006,Blaber,3,386827,5936476,e,slope,1.3,0,1.3,0,0,0,38.4,1.7,0,0,10,31.7,18.3,0,0,8,0,0,0,824,133,286,1255.624,0.05506469,1.5,22.64,5.43,173334,47970
127,14/11/2006,Spring 2006,Blaber,4,386616,5936267,e,slope,41.3,8.3,0,3.3,0,0,0,16.1,0,0,5.7,23.3,13.3,0,0,57,0,0,0,845,136,295,1255.364,0,1.65,19.78,6.79,170966,38935
128,14/11/2006,Spring 2006,Blaber,5,386709,5936234,e,slope,4,0,0.3,0,0,0,17.3,3.7,0,3.3,5.7,25,56.7,3.3,0,5,3,10,0,831,134,289,1254.703,0,1.62,21.59,5.97,166572,36004
129,14/11/2006,Spring 2006,DClark,1,380818,5959432,nw,slope,10,1.7,0,0,0,0,23.3,0,0,0,2,20,53.3,5,0,6,0,1,0,609,113,193,1329.317,0.4748655,1.77,16.12,4.66,174217,37706
130,14/11/2006,Spring 2006,DClark,2,381282,5959592,s,slope,60,0,1.7,10,0,0,10,0,0,0,0,15,10,0,0,15,0,0,0,610,113,193,1329.667,1.904616,1.83,19.11,4.68,174770,39668
131,14/11/2006,Spring 2006,DClark,3,381475,5959610,e,slope,26.7,0,0,1.7,0,0,16.7,0,0,0,0,18.3,33.3,5,0,57,0,0,0,609,113,193,1329.728,0,1.69,17.36,5.02,175391,40948
132,14/11/2006,Spring 2006,DClark,4,381423,5959607,e,slope,35,0,0,0,0,0,12.7,0,0,0,1.6,10,56.7,3.3,0,4,0,0,0,610,113,193,1329.715,0.1146546,1.69,17.32,4.85,174971,39876
133,14/11/2006,Spring 2006,DClark,5,381170,5959382,s,slope,28,0,0,0,0,0,48.3,0,0,0,0,10,31.7,4,0,30,0,0,0,611,113,194,1329.287,0,2.18,16.61,5.08,173579,38655
134,14/11/2006,Spring 2006,DClark,6,381127,5959717,e,slope,30,6.7,0,0.7,0,0,28.3,0,6.7,0,4,10,13.3,0,0,28,0,0,0,614,114,195,1329.859,0.1437051,1.95,17.64,5.38,176879,43794
135,4/11/2006,Spring 2006,Gough,1,358522,5921752,s,slope,31.8,7.3,0,0,0,5,28.3,0,0,0,5,18.3,10,11.7,0,6,0,0,0,674,119,220,1254.473,0,2.93,12.06,6.26,172881,40076
136,4/11/2006,Spring 2006,Gough,2,359520,5922135,s,slope,23,14.9,2,0,0,13.3,8.3,5.7,8.3,0,4,10,20,20,0,15,0,0,0,717,124,239,1254.987,0,2.9,12.8,5.75,168399,59078
137,4/11/2006,Spring 2006,Gough,3,359300,5922200,n,slope,14.7,4,0,0,0,0,21.7,0,8.3,0,3.3,38.3,0,21.7,20,0,0,0,0,715,124,238,1255.317,0,3.12,12.85,6.31,167998,59837
138,4/11/2006,Spring 2006,Gough,4,359438,5922192,n,slope,20,3.3,6.7,0,0,0,16.7,0,0,0,0,46.7,0,20,13.3,0,0,0,0,704,123,233,1255.269,0,2.96,12.58,6.01,173005,57424
139,4/11/2006,Spring 2006,Gough,5,359347,5922100,n,slope,36.7,6.7,0,0,0,0,5,0,3.3,0,5,26.7,0,13.3,0,2,0,0,0,718,124,240,1254.83,0,3.02,12.5,6.22,174754,43788
140,4/11/2006,Spring 2006,Gough,6,358918,5921920,s,slope,14.3,23.4,0.6,2.3,0,6.7,16.7,0,3.3,0,1.7,23.3,6.7,6.7,20,0,0,0,0,700,122,232,1254.37,0,2.79,12.97,7.65,172551,40892
141,4/11/2006,Spring 2006,Gough,7,358450,5921800,nw,slope,31.3,20,0,0,0,5,30,0,5,0,7.3,26.7,0,0,0,3,0,0,0,665,118,216,1254.856,0,2.84,12.51,6.03,173541,47573
142,4/11/2006,Spring 2006,Gough,8,358586,5921710,nw,slope,19,20,0,0.7,0,0,13.3,0,1.7,0,0,30,0,23.3,56.7,0,7,4,0,677,120,221,1254.135,0,2.94,11.74,6.74,169317,37309
143,4/11/2006,Spring 2006,Gough,9,358789,5921914,n,toe_of_slope,76,11.7,2.3,0,0,0,6.7,0,0,0,0,16.6,0,0,0,1,0,3,0,679,120,221,1254.627,0,2.87,13,8,157050,29714
144,7/12/2006,Spring 2006,Green,1,359810,5871505,w,slope,11.7,0,3.3,0,0,0,3,0,3.3,0,20,4,0,53.3,0,0,2,1,0,920,162,283,1151.623,0,1.47,14.17,6.61,173510,55508
145,7/12/2006,Spring 2006,Green,2,359692,5871634,n,slope,62.4,4,0.6,0,0,0,3.3,3.3,0,0,8.3,13.3,0,0,0,60,0,0,0,919,162,283,1151.493,0,1.6,15.84,7.35,168587,43214
146,7/12/2006,Spring 2006,Green,3,359865,5871733,s,slope,40.7,1.7,10,0,0,0,13.3,5,3.3,0,11.7,10,0,0,0,50,0,0,0,864,154,263,1152.862,0,1.48,17.23,7.1,169247,40245
147,7/12/2006,Spring 2006,Green,4,359972,5871655,w,slope,21.7,1.7,3.4,0,0,0,8,1.7,0,0,40,3,3.3,20,0,0,0,1,0,876,156,267,1153.137,0,1.53,15.55,6.62,166295,63248
148,10/11/2006,Spring 2006,Hawkey,1,330118,6010800,0,flat,1,6.7,0,8.3,0,0,0,0,0,0,0,91.6,0,0,20,0,0,0,0,415,88,119,1391.988,8.984232,1.4,17.81,4.93,176368,43249
149,10/11/2006,Spring 2006,Hawkey,2,330540,6010844,0,flat,33.3,0,10,6.7,0,0,0,0,0,0,0,41.7,11.7,0,0,4,0,0,0,416,88,120,1392.157,8.984145,1.71,16.87,6.75,176862,43592
150,10/11/2006,Spring 2006,Hawkey,3,330210,6010800,0,flat,5.7,16.7,0,5,0,0,0,3.3,0,0,5,68.3,0,1.7,0,18.3,0,0,0,416,88,119,1392.013,8.984159,1.42,17.72,5.01,176557,43368
151,10/11/2006,Spring 2006,Hawkey,4,330125,6010555,0,flat,58.3,0,0,25,0,0,0,0,0,0,13.3,8.3,0,0,0,5,0,9,0,415,88,119,1391.691,8.984097,1.5,16.42,5.6,176396,43234
152,7/12/2006,Spring 2006,JClark,1,367727,5872320,s,slope,66.6,0,0,0,0,0,0,0,0,0,0,36.7,11.7,0,15,0,0,0,0,839,147,258,1147.395,0.5408093,1.16,12.41,6.21,169244,33750
153,7/12/2006,Spring 2006,JClark,2,367851,5872147,nw,slope,0,0,0.7,0,0,0,4.7,0,0,0,15,3,63.3,15,0,3,0,0,0,849,149,262,1146.684,0,1.64,12.09,5.79,169281,55015
154,7/12/2006,Spring 2006,JClark,3,367744,5871824,w,slope,0,0,0,0,0,0,8.3,0,1.7,0,38.3,21.7,23.3,13.3,10,0,0,0,0,830,146,254,1146.879,0.3346741,1.75,13.58,6.52,172547,38679
155,7/12/2006,Spring 2006,JClark,4,367758,5872628,sw,slope,11.4,6.7,5,0,0,0,5,0.6,0,0,0,30,60,0,23.3,0,0,0,0,938,160,296,1147.522,0,1.43,12.93,6.99,147537,15642
156,7/12/2006,Spring 2006,JClark,5,367896,5872741,sw,slope,19.9,20,28.3,0,0,0,0,0,0,0,0,50,0,0,26.7,0,0,0,0,940,161,297,1146.967,0,1.38,12.16,7.15,176081,58613
157,7/12/2006,Spring 2006,JClark,6,367856,5872020,sw,slope,66.6,1.7,3.3,0,0,0,0,1.7,0,0,1.7,20,0,0,0,5,0,0,0,845,148,260,1146.554,0,1.67,10.14,6.57,167397,35501
158,7/12/2006,Spring 2006,JClark,7,367778,5872782,nw,slope,5.7,0,0,0,0,0,2,0,2.7,0,8.3,63.3,21.7,23.3,10,0,0,0,0,940,161,297,1147.561,0,1.57,13.19,7.5,174050,52320
159,10/11/2006,Spring 2006,Kellock,1,408962,5987848,w,slope,9,0,0,0,0,0,71.7,0,0,0,0,36.7,10,0,0,7,0,0,0,521,107,153,1362.253,0.7304451,1.91,10.36,7.09,176172,44339
160,10/11/2006,Spring 2006,Kellock,2,408982,5987800,w,slope,24,1.7,0,0,0,0,6.7,0,0,0,0,61.7,0,10,0,10,0,0,0,521,107,153,1362.165,0.9040246,1.87,10.14,6.86,176442,44176
161,10/11/2006,Spring 2006,Kellock,3,408906,5987971,nw,slope,8.6,0,0,0,0,0,5,0,0,0,0,93.3,0,0,51.7,0,0,0,0,520,106,152,1362.49,1.625703,2.22,11.2,6.48,176099,44930
162,10/11/2006,Spring 2006,Kellock,4,409200,5987674,w,slope,36.4,0,0,0,0,0,0,0,0,0,31.7,36.7,0,3.3,0,0,0,0,0,525,107,153,1361.571,1.294694,1.73,10.75,5.25,177504,43716
163,10/11/2006,Spring 2006,Kellock,5,409590,5987976,w,slope,5,1.7,0,0,0,0,33.3,0,0,0,0,30,33.3,28.3,0,3,0,0,0,521,107,152,1360.971,0.04744754,1.89,10.12,4.03,175851,41605
164,10/11/2006,Spring 2006,Kellock,6,409400,5897800,w,slope,5,0,0,0,0,0,0,0,0,0,0,53.3,41.7,43.3,0,0,0,0,0,811,144,259,1197.848,0,1.44,16.55,7.24,167982,30181
165,10/11/2006,Spring 2006,Kellock,7,409486,5897651,e,slope,55,0,0,0,0,0,25,1.3,0,0,0.7,20,0,0,0,3,9,3,0,807,144,258,1197.491,0,1.53,15.78,6.78,170180,33928
166,10/11/2006,Spring 2006,Kellock,8,409448,5987674,e,slope,36.7,0,0,0,0,0,21.7,0,0,0,0,38.3,0,0,0,0,0,0,0,521,107,152,1361.025,0,1.64,9.95,7.12,174896,41668
167,10/11/2006,Spring 2006,Kellock,9,409415,5897238,s,slope,13.3,0,0,0,0,0,53.3,0,0,0,2.3,33.3,0,0,0,15,0,0,0,790,141,250,1197.114,0.1207462,1.77,14.68,6.87,174415,37252
168,14/11/2006,Spring 2006,Martin,1,388520,5956821,e,slope,33.4,0.7,0,3.3,0,0,23.3,0,0,0,9,31.7,0.7,0,0,13,0,0,0,633,116,203,1328.43,2.86717,1.09,15.24,5.7,177743,43618
169,14/11/2006,Spring 2006,Martin,2,388687,5956216,0,flat,1.7,0,0,0.7,0,0,8.3,0,0,0,5,85,0,0,20,0,0,0,0,635,116,204,1327.712,3.811831,1.06,15.95,5.25,177718,43459
170,14/11/2006,Spring 2006,Martin,3,388546,5957092,ne,slope,5.7,0,0,4.7,0,0,4,0,0,0,1.7,85,0,0,20,0,0,0,0,632,116,203,1328.781,3.797176,1.05,15.89,5.91,177598,44120
171,14/11/2006,Spring 2006,Martin,4,388492,5957106,ne,slope,15.7,0,0,1.7,0,0,40,0,0,0,5,31.7,20,1.7,0,9,0,0,0,632,116,203,1328.782,3.777952,1.05,16.22,5.83,177754,44386
172,14/11/2006,Spring 2006,Martin,5,388421,5956882,e,slope,41.7,2.3,0,0.7,0,0,36.7,0,0,0,4,15,6.7,1.7,0,11,0,0,0,633,116,203,1328.476,2.685053,1.02,14.81,5.66,177688,43674
173,14/11/2006,Spring 2006,Martin,6,388049,5957051,w,slope,36.7,0,0,1.7,0,0,31.7,0,0,0,10,11.7,11.7,1,0,42,0,3,0,631,116,202,1328.545,2.986302,1.22,17.01,5.82,176477,43241
174,14/11/2006,Spring 2006,Martin,7,388197,5956382,s,slope,33.3,0,0,1.7,0,0,30,0,0,0,8.3,28.3,5,0,0,3.5,0,0,0,635,116,204,1327.765,0,1.05,16.58,6.26,177715,43372
175,14/11/2006,Spring 2006,Martin,8,388066,5956555,n,slope,25,1.7,0,0,0,0,38.3,0,0,0,6.7,11.7,10,0,0,15,0,17,0,635,116,204,1327.932,0,1.07,16.25,5.39,177688,43623
176,14/11/2006,Spring 2006,Martin,9,387869,5957408,s,slope,43.3,0,0,0,0,0,40,0,5,0,1.3,16.7,1.7,0,0,15,1,5,0,629,115,201,1328.915,3.448325,1.19,16.08,5.51,176933,43702
177,14/11/2006,Spring 2006,Martin,10,388607,5957201,0,flat,3.3,0,0,0,0,0,18.3,0,0,0,5,45,30,0,1.7,0,0,3,0,631,116,202,1328.94,3.936161,1,16.03,5.81,176822,44369
178,14/11/2006,Spring 2006,Martin,11,388372,5956855,0,flat,6.3,4,0,1.3,0,0,33.4,0,0,0,10,48.3,15,0,0,11,2,0,0,633,116,203,1328.426,2.728958,1.07,15.12,5.54,177734,43670
179,11/11/2006,Spring 2006,McCracken,1,358300,5956890,0,flat,11.3,0,0,4,0,0,0,0,0.7,0,5,85,0,0,0,0,0,0,0,534,102,163,1330.363,7.515372,1.6,15.02,6.06,176813,43717
180,11/11/2006,Spring 2006,McCracken,2,358234,5957048,0,flat,8,0,0,1,0,0,0,0,0,0,8.3,86.7,0,0,0,0,0,10,0,533,102,163,1330.564,7.536016,1.54,15.49,5.92,176782,43658
181,11/11/2006,Spring 2006,McCracken,3,357793,5957607,0,flat,4,0,0,0,0,0,2.7,0,0,0,3,92.3,0,0,25,0,0,0,0,531,102,162,1331.287,7.625347,1.31,14.38,5.94,176795,43683
182,11/11/2006,Spring 2006,McCracken,4,358169,5957394,0,flat,26.6,0.7,0,3,0,0,0.7,0,13,0,5,70,0,0,0,2.5,0,0,0,533,102,163,1331.003,7.570063,1.42,14.72,6.57,176807,43699
183,11/11/2006,Spring 2006,McCracken,5,357759,5967289,0,flat,20.1,0,0,0,0,0,3.3,0,0.7,0,18.3,65,0,0,0,3,0,0,0,514,101,155,1342.489,7.892406,1.39,13.54,5.18,176940,43677
184,11/11/2006,Spring 2006,McCracken,6,358071,5957400,0,flat,28.3,0.7,0,2.3,0,0,13.3,0.6,1.7,0,8.3,46.7,0,0,0,2,0,0,0,532,102,162,1331.014,7.581505,1.45,14.33,6.27,176773,43621
185,11/11/2006,Spring 2006,McCracken,7,357800,5957608,0,flat,3,0,0,0.3,0,0,1,0,1,0,23.3,81.7,0,0,46.7,0,0,0,0,531,102,162,1331.288,7.624695,1.31,14.35,5.96,176795,43683
186,11/11/2006,Spring 2006,McCracken,8,358358,5957156,0,flat,8,1.7,0,3,0,0,3.3,0,0.7,0,5.7,80,0,0,0,17,0,0,0,533,102,163,1330.695,7.529678,1.52,15.24,5.94,176784,43641
187,6/12/2006,Spring 2006,Olive,1,377201,5876434,s,slope,19,8.9,4.9,1.6,0,0,11.7,3.3,0,0,7,36.7,41.7,0,0,0,0,0,0,936,154,305,1167.787,0,1.69,12.61,6.26,176190,52573
188,6/12/2006,Spring 2006,Olive,2,377301,5876368,s,slope,6.7,1.6,14.9,0,0,0,20,8,0,2.7,0,56.7,40,0,0,2,0,0,0,926,153,301,1167.877,0,1.32,13.32,5.81,172897,53028
189,6/12/2006,Spring 2006,Olive,3,377707,5876436,s,slope,50,13,30,1.6,0,0,5,7,0,0,1.6,20,26.7,0,0,5,0,0,0,875,147,281,1169.924,1.57803,1.51,14.37,6.3,176526,43941
190,6/12/2006,Spring 2006,Olive,4,377587,5876420,n,slope,40,10,26.7,0,0,0,13.3,5,0,0,10,15,31.7,0,0,23,0,0,0,896,150,289,1169.341,0,1.22,14.51,6.48,177489,51340
191,6/12/2006,Spring 2006,Olive,5,377862,5876384,0,flat,20,15.7,0,0,0,0,33.4,1.6,0,0,2,6.7,10,0,0,15,0,0,0,866,146,278,1170.326,1.127135,1.31,12.77,5.52,175761,43133
192,10/11/2006,Spring 2006,Rokahr,1,387721,5985370,0,flat,3,0,0,0,0,0,5.7,0,0,0,46.7,46.7,0,0,0,2,0,0,0,523,109,155,1363.015,5.943637,1.94,12.95,5.79,176922,43801
193,10/11/2006,Spring 2006,Rokahr,2,388091,5985252,0,flat,4,0,0,0,0,0,3.3,0,0,0,7.3,88.3,0,0,0,0,0,0,0,523,109,155,1362.98,5.946995,1.87,13.12,6.77,176990,43881
194,10/11/2006,Spring 2006,Rokahr,3,387748,5985167,0,flat,3,0,0,0,0,0,5.7,0,0,0,10,83.3,0,0,0,0,0,0,0,523,109,155,1362.776,5.941662,1.93,13.86,5.6,176919,43859
195,10/11/2006,Spring 2006,Rokahr,4,387820,5985032,0,flat,4.3,0,0,0,0,0,4,0,0,0,6.3,86.7,0,0,0,5,0,0,0,523,109,155,1362.633,5.941177,1.88,12.08,5.76,176988,43915
196,10/11/2006,Spring 2006,Rokahr,5,388153,5985361,0,flat,17,0,0,0,0,0,0,0,0,0,4.7,76.7,0,0,0,10,0,0,0,523,110,155,1363.129,5.94741,1.91,11.64,6.03,176944,43869
197,10/11/2006,Spring 2006,Rokahr,6,388279,5985364,0,flat,2.3,0,0,0,0,0,5.7,0,0,0,50.7,41.7,0,0,0,0,0,0,0,523,110,155,1363.171,5.945867,2.07,12.02,5.4,176971,43889
198,10/11/2006,Spring 2006,Rokahr,7,387900,5985208,0,flat,3.3,0,0,0,0,0,4,0,0,0,61.7,35,0,0,0,5,0,0,0,523,109,155,1362.868,5.944719,1.96,12.58,5.69,176947,43866
199,14/11/2006,Spring 2006,Sharrock,1,383259,5955400,w,slope,0.7,0,0,0,0,0,0.7,0,0,0,81.7,5,11.7,5,0,0,15,6,0,626,114,201,1324.947,0.1809234,1.73,15.28,4.85,175274,41515
200,14/11/2006,Spring 2006,Sharrock,2,383454,5955569,w,slope,1,0,0,0,0,0,1.3,0,0,0,55,33.3,13.3,3,0,0,2,0,0,633,115,204,1325.164,0.3094716,1.34,17.68,5.48,177690,45077
201,14/11/2006,Spring 2006,Sharrock,3,383340,5955291,nw,slope,2,0,0,0,0,0,3,0,0,0,43.3,9,30,7.3,0,1,0,1,0,627,114,201,1324.851,1.833786,1.72,16.63,4.72,175186,41570
202,14/11/2006,Spring 2006,Sharrock,4,383247,5955254,nw,slope,19,3,0,15,0,0,6.3,0,0,0,5,11.7,33.3,4,0,3,0,0,0,625,114,200,1324.796,1.541739,1.73,16.79,4.94,174803,41550
203,15/11/2006,Spring 2006,Staff,1,386235,5939864,nw,toe_of_slope,27.4,0,9,0,0,0,6.7,0,0,0,8.3,51.7,0,0,30,0,0,0,0,775,128,265,1278.171,1.331807,2.23,20.03,6.9,176835,46410
204,15/11/2006,Spring 2006,Staff,2,385538,5939237,0,toe_of_slope,45,16.6,0,0,0,0,3.3,0,5,0,0.7,30,0,0,0,5,0,0,0,861,138,301,1277.758,0,1.63,16.92,5.28,177991,43335
205,15/11/2006,Spring 2006,Staff,3,385896,5939852,n,slope,0.7,0,6.7,0,0,0,6.7,0,0,0,10,7.5,0,6.7,20,0,0,0,0,811,132,280,1279.447,0,1.73,16.56,6.74,171950,56384
206,15/11/2006,Spring 2006,Staff,4,386127,5939821,n,slope,45.7,6.6,6.7,0,3.3,0,10,5,0,0,0.7,28.3,10,1.7,0,25,0,0,0,782,129,268,1278.37,0,2.2,19.76,6,177432,51781
207,15/11/2006,Spring 2006,Staff,5,386035,5939347,s,slope,3,9.3,1.7,0,0,0,9.7,0,0.7,0,15,51.6,2,8.3,0,2,0,0,0,844,136,294,1276.24,0,1.78,13.71,6.49,176433,53847
208,15/11/2006,Spring 2006,Staff,6,386001,5939715,n,slope,0,0.7,5,0,0,0,12.3,0,0,0,35,26.7,0,10,0,2,0,0,0,810,132,280,1278.313,0,1.72,16.57,5.85,172589,54698
209,15/11/2006,Spring 2006,Staff,7,386055,5939675,n,slope,12,17.4,15.4,0,0,0,15,0,0,0,6.7,26.7,0,18.3,0,48,0,0,0,803,131,276,1277.885,0,1.82,17.19,5.83,161353,40016
210,15/11/2006,Spring 2006,Staff,8,385443,5939855,e,slope,1.3,14.4,2.3,0,0,0,35,1.7,0,0,8.3,13.3,25,16.7,0,2,0,16,0,855,137,299,1281.249,0.153475,1.73,19.36,5.65,180995,47558
211,15/11/2006,Spring 2006,Staff,9,385751,5939665,s,slope,3,13.7,1.7,0,0,0,25,0,0,0,15,21.7,9,11.7,0,5,1,0,0,861,138,301,1279.058,0,1.66,17.09,6.91,177665,54927
212,8/12/2006,Spring 2006,Stoney,1,410616,5899138,e,slope,25.7,5.3,21.6,0,0,0,8.3,0,0,0,18.3,4,13.3,5.7,0,0,0,0,0,880,151,287,1199.773,0,1.97,15.93,6.87,147636,23333
213,8/12/2006,Spring 2006,Stoney,2,410623,5899408,e,slope,24.6,8.6,4,9,0,0,8.3,0,0,0,13.3,4,10,1.7,0,50,0,0,0,887,152,289,1200.248,0,2.49,18.64,6.84,165767,41935
214,8/12/2006,Spring 2006,Stoney,3,410572,5898758,e,slope,25.2,14,4,4,0,0,5,0,1.6,0,0,5,15,20,0,30,0,0,0,834,147,268,1199.157,0,1.78,17.36,6.76,174380,42939
215,8/12/2006,Spring 2006,Stoney,4,410582,5899104,e,slope,37.8,13.9,2,6.7,0,0,6.3,3.3,0,0,0,5,6.7,13.3,0,16,0,0,0,868,150,282,1199.696,0,1.97,16.17,6.88,147465,16000
216,8/12/2006,Spring 2006,Stoney,5,410409,5899351,e,slope,13.1,6.6,5.6,6.6,0,0,13.3,9.9,1.3,0,8.3,10,8.3,3.3,0,22,0,0,0,953,158,317,1200.034,0,2.32,21.18,7.81,177424,51313
217,8/12/2006,Spring 2006,Stoney,6,410382,5899190,e,slope,15,20,11.7,0,0,0,25,4.3,0,0,6.7,20,3.3,16.7,0,0,0,0,0,955,158,318,1199.739,0,2.38,17.41,7.72,159069,29920
218,8/12/2006,Spring 2006,Stoney,7,410500,5899179,0,crest,16.7,11.7,28.3,0,0,0,18.3,2.7,0,0,5,15,0,1.6,0,15,0,0,0,901,154,295,1199.783,0,2.21,17.75,7.27,146485,15560
219,14/10/2006,Spring 2006,Taylor,1,389718,5954830,0,flat,0,0,0,0.7,0,0,0,0,0,0,78,22,0,0,0,2,0,0,0,640,116,206,1326.194,5.466786,1.08,15.35,5.57,177126,43510
220,14/10/2006,Spring 2006,Taylor,2,389698,5954770,0,flat,7.4,0,0,24,0,0,0,0,0,0,38.3,32.7,0,0,0,0,0,0,0,640,116,206,1326.111,5.492534,1.04,15.87,5.65,177061,43468
221,14/10/2006,Spring 2006,Taylor,3,389775,5954594,0,flat,7.3,0,0,8,0,0,0,0,0,0,21.7,65,0,0,0,5,0,0,0,641,116,207,1325.899,5.630355,1.08,17.02,5.04,177192,43500
222,14/10/2006,Spring 2006,Taylor,4,389817,5954875,0,flat,0,0,0,0.7,0,0,0,0,0,0,88.3,11,0,0,0,1,0,0,0,640,116,206,1326.277,5.488222,1.08,15.98,5.62,177238,43574
223,14/10/2006,Spring 2006,Taylor,5,389750,5954882,0,flat,0.7,0,0,0,0,0,0.7,0,0,0,96.7,2.3,0.7,0,0,5,0,0,0,639,116,206,1326.27,5.450938,1.1,15.15,5.56,177197,43572
224,7/12/2006,Spring 2006,Wakefield,1,348305,5873844,s,slope,53.4,9,0,11.7,0,0,16.6,0,0,0,0,16.7,0,0,0,35,0,0,0,765,143,228,1143.03,0,1.63,14.09,5.92,176651,49007
225,7/12/2006,Spring 2006,Wakefield,2,348562,5874018,n,toe_of_slope,15,15,11.6,7.3,0,0,3.3,0,0,0,1.7,38.3,0,5,63.3,0,2,3,0,788,146,236,1144.485,0,1.67,12.83,5.12,169557,35712
226,7/12/2006,Spring 2006,Wakefield,3,348253,5879750,s,slope,40,2.4,5,1.7,0,0,0,0,0,0,21.7,33.3,0,5,43.3,0,0,0,0,756,139,231,1180.585,0,1.93,13.55,5.68,176062,55197
227,7/12/2006,Spring 2006,Wakefield,4,348391,5873773,s,slope,29.1,11.7,1.7,10.7,0,0,6.6,1.7,3.3,0,0,50,23.3,0,23.3,0,0,0,0,777,144,232,1142.626,0,1.66,13.59,5.88,169346,41053
228,17/11/2006,Spring 2006,Yorston,1,358010,5895886,w,slope,15,45,0,33.4,0,0,0,0,0,0,1.7,5.7,0,0,0,11,0,0,0,830,142,271,1150.878,0.1754847,2.33,15.99,7.15,179689,44759
229,17/11/2006,Spring 2006,Yorston,2,358179,5895876,w,slope,35,16.6,7.3,26.7,0,0,0,0,0,0,2,11.7,0,0,0,27,0,0,0,841,143,275,1150.21,0,2.61,18.09,8.99,182686,48574
230,17/11/2006,Spring 2006,Yorston,3,358917,5894850,w,slope,31.6,10.1,3.4,0,0,0,26.7,0,0,0,2.3,15,6.7,8.3,0,5,0,0,0,916,153,303,1150.307,0,1.62,16.4,6.57,185139,53240
231,17/11/2006,Spring 2006,Yorston,4,359133,5894764,e,slope,25,10.7,2,0,0,0,15,0,0,0,0,53.3,0,0,0,3,0,0,0,950,157,316,1149.66,0,1.48,16.56,6.04,182485,52192
232,17/11/2006,Spring 2006,Yorston,5,358252,5895592,se,slope,56.7,21.7,3.3,10,0,0,6.7,1.7,0,0,0,6.7,0,3.3,10,0,1,0,0,843,143,276,1150.794,0.7333728,2.33,17.24,6.76,181204,46178
233,17/11/2006,Spring 2006,Yorston,6,357950,5895426,e,slope,11.7,0,0,23.3,0,0,6.7,0,0,0,3.3,66.7,0,0,0,0,0,0,0,833,142,273,1152.572,1.75583,1.95,16.82,7.88,181060,45969
234,17/11/2006,Spring 2006,Yorston,7,358099,5898520,s,slope,38.3,10,20,2.3,0,0,6.7,0,0,0,8.3,18.3,0,0,0,2,0,0,0,806,138,264,1147.758,0,2.32,12.77,6.24,176593,54664
